"ID","Age","LoanDuration","LoanAmount","LoanRateAsPercentOfIncome","MissedPayments","CriticalAccountOrLoansElsewhere","Unemployed","YearsAtCurrentJobLessThan1","YearsAtCurrentJobGreaterOrEqualThan4","y"
"687","30","36","2862","4","0","0","0","0","1","1"
"805","24","36","9271","2","1","0","0","0","1","0"
"535","33","21","2319","2","1","1","0","1","0","0"
"944","46","15","1845","4","1","0","0","1","0","1"
"956","49","30","3656","4","1","1","0","0","1","1"
""105","39","24","11938","2","1","1","0","0","0","0"
"179","65","21","571","4","1","1","0","0","1","1"
"952","28","24","4113","3","1","0","0","1","0","0"
"363","21","6","1766","1","1","0","0","0","0","1"
"521","24","18","3190","2","1","0","0","0","0","0"
"671","31","36","5742","2","1","0","0","0","1","1"
"685","34","60","6527","4","1","0","0","0","0","1"
"676","33","24","5150","4","1","1","0","0","1","1"
"885","53","12","795","4","1","0","0","1","0","0"
"354","46","10","727","4","1","0","0","0","1","1"
"631","44","18","1553","4","1","0","0","0","0","0"
"499","28","6","1323","2","1","1","0","0","1","1"
"970","22","15","1514","4","1","0","0","0","0","1"
"820","27","12","1101","3","1","0","0","0","0","1"
"7","35","36","6948","2","1","0","0","0","0","1"
"651","37","12","1922","4","1","0","0","0","0","0"
"563","37","36","12389","1","1","0","0","0","0","0"
"903","40","15","1386","4","1","0","0","0","0","1"
"191","34","48","3844","4","1","0","0","0","1","0"
"843","50","24","1559","4","1","0","0","0","1","1"
"289","48","24","1024","4","0","0","0","1","0","0"
"290","26","12","1076","2","1","0","0","0","0","1"
"579","27","24","937","4","1","0","0","1","0","1"
"727","25","18","1882","4","1","0","0","0","0","0"
"974","33","30","2831","4","1","1","0","0","0","1"
"152","24","36","5848","4","1","0","0","0","0","1"
"226","27","48","10961","1","1","0","0","0","1","0"
"307","33","12","727","4","1","0","0","1","0","0"
"98","36","36","2337","4","1","1","0","0","1","1"
"606","74","24","4526","3","1","1","0","0","0","1"
"949","31","24","3621","2","1","0","0","0","1","0"
"257","29","12","2149","4","1","0","0","0","0","0"
"882","36","30","2181","4","1","1","0","0","1","1"
"99","36","20","7057","3","0","0","0","0","1","1"
"705","35","15","5324","1","1","0","0","0","1","1"